term_str,n,p,i,n_chars,max_pos,n_pos,stem_porter,stem_snowball,stem_lancaster,stop,df,idf,dfidf,tfidf_mean,tfidf_sum,tfidf_median,tfidf_max,pos_group,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity
save,93,0.00020992611954953917,12.21783069791122,4,VB,4,save,save,sav,0,17,0.08246216019197297,1.4018567232635406,0.4260544943251937,7.668980897853487,0.41231080095986483,0.9070837621117027,VB,0,0,0,0,1,0,1,0,0,1,1
happy,93,0.00020992611954953917,12.21783069791122,5,JJ,3,happi,happi,happy,0,18,0.0,0.0,0.0,0.0,0.0,0.0,JJ,0,1,0,0,1,0,1,0,0,1,1
virtue,92,0.00020766884944685597,12.233427552962237,6,NN,7,virtu,virtu,virtu,0,18,0.0,0.0,0.0,0.0,0.0,0.0,NN,0,0,0,0,0,0,1,0,0,1,1
joy,92,0.00020766884944685597,12.233427552962237,3,NN,5,joy,joy,joy,0,17,0.08246216019197297,1.4018567232635406,0.42147326320341744,7.586518737661514,0.3298486407678919,1.1544702426876217,NN,0,0,0,0,1,0,1,0,0,0,1
grave,92,0.00020766884944685597,12.233427552962237,5,NN,4,grave,grave,grav,0,16,0.16992500144231237,2.718800023076998,0.8685055629273744,15.63310013269274,0.7646625064904057,2.88872502451931,NN,0,0,0,1,0,1,0,1,0,0,-1
enemy,91,0.00020541157934417275,12.249194868820554,5,NN,5,enemi,enemi,enemy,0,16,0.16992500144231237,2.718800023076998,0.8590652850694681,15.463175131250425,0.6797000057692495,2.0391000173077485,NN,1,0,1,1,0,1,0,0,0,0,-1
serve,91,0.00020541157934417275,12.249194868820554,5,VB,5,serv,serv,serv,0,18,0.0,0.0,0.0,0.0,0.0,0.0,VB,0,0,0,0,0,1,0,0,0,1,-1
sick,91,0.00020541157934417275,12.249194868820554,4,JJ,6,sick,sick,sick,0,17,0.08246216019197297,1.4018567232635406,0.4168920320816412,7.504056577469542,0.2886175606719054,1.4018567232635406,JJ,0,0,1,0,0,1,0,1,0,0,-1
hell,90,0.00020315430924148953,12.265136412689575,4,NN,5,hell,hell,hel,0,17,0.08246216019197297,1.4018567232635406,0.4123108009598649,7.421594417277568,0.41231080095986483,1.1544702426876217,NN,1,0,1,1,0,1,0,1,0,0,-1
kiss,88,0.0001986397690361231,12.297557890381952,4,VB,8,kiss,kiss,kiss,0,17,0.08246216019197297,1.4018567232635406,0.40314833871631234,7.256670096893622,0.41231080095986483,0.8246216019197297,VB,0,1,0,0,1,0,1,0,1,0,1
patience,88,0.0001986397690361231,12.297557890381952,8,NN,3,patienc,patienc,paty,0,18,0.0,0.0,0.0,0.0,0.0,0.0,NN,0,1,0,0,0,0,1,0,0,1,1
weep,85,0.00019186795872807344,12.347598572881548,4,VB,8,weep,weep,weep,0,17,0.08246216019197297,1.4018567232635406,0.38940464535098346,7.009283616317703,0.24738648057591892,0.9070837621117027,VB,0,0,0,0,0,1,0,1,0,0,-1
pay,85,0.00019186795872807344,12.347598572881548,3,VB,4,pay,pay,pay,0,17,0.08246216019197297,1.4018567232635406,0.3894046453509835,7.0092836163177035,0.3298486407678919,0.9070837621117027,VB,0,1,0,0,1,0,1,0,0,1,1
proud,84,0.0001896106886253902,12.36467208624049,5,JJ,8,proud,proud,proud,0,17,0.08246216019197297,1.4018567232635406,0.38482341422920724,6.92682145612573,0.24738648057591892,1.3193945630715675,JJ,0,1,0,0,1,0,1,0,0,1,1
content,83,0.00018735341852270702,12.381950077672325,7,NN,5,content,content,cont,0,17,0.08246216019197297,1.4018567232635406,0.380242183107431,6.844359295933758,0.3298486407678919,1.0720080824956486,NN,0,0,0,0,1,0,1,0,0,1,1
guard,83,0.00018735341852270702,12.381950077672325,5,NN,6,guard,guard,guard,0,14,0.36257007938470837,5.075981111385917,1.6718509216072661,30.09331658893079,0.9064251984617708,11.964812619695376,NN,0,0,0,1,0,0,1,0,0,1,1
lion,83,0.00018735341852270702,12.381950077672325,4,NN,2,lion,lion,lion,0,16,0.16992500144231237,2.718800023076998,0.783543062206218,14.103775119711925,0.33985000288462475,6.117300051923245,NN,0,0,0,1,0,0,1,0,0,0,1
merry,82,0.0001850961484200238,12.399437504401167,5,NN,8,merri,merri,merry,0,16,0.16992500144231237,2.718800023076998,0.7741027843483117,13.93385011826961,0.42481250360578093,3.3985000288462475,NN,0,0,0,0,1,0,1,0,0,0,1
deny,82,0.0001850961484200238,12.399437504401167,4,VB,6,deni,deni,deny,0,17,0.08246216019197297,1.4018567232635406,0.37566095198565475,6.761897135741785,0.3298486407678919,1.0720080824956486,VB,1,0,0,0,0,1,0,0,0,0,-1
worse,82,0.0001850961484200238,12.399437504401167,5,JJR,4,wors,wors,wors,0,17,0.08246216019197297,1.4018567232635406,0.37566095198565475,6.761897135741785,0.37107972086387836,0.8246216019197297,JJ,0,0,0,1,0,1,0,1,0,0,-1
fell,81,0.00018283887831734057,12.417139506134626,4,VBD,2,fell,fell,fel,0,18,0.0,0.0,0.0,0.0,0.0,0.0,VB,0,0,0,0,0,1,0,1,0,0,-1
sorrow,81,0.00018283887831734057,12.417139506134626,6,NN,6,sorrow,sorrow,sorrow,0,16,0.16992500144231237,2.718800023076998,0.7646625064904057,13.763925116827302,0.7646625064904057,1.6992500144231237,NN,0,0,0,1,0,1,0,1,0,0,-1
comfort,81,0.00018283887831734057,12.417139506134626,7,NN,4,comfort,comfort,comfort,0,17,0.08246216019197297,1.4018567232635406,0.3710797208638784,6.679434975549811,0.2886175606719054,0.9070837621117027,NN,0,1,0,0,1,0,1,0,0,1,1
bottom,81,0.00018283887831734057,12.417139506134626,6,NN,4,bottom,bottom,bottom,0,9,1.0,9.0,4.5,81.0,0.5,65.0,NN,0,0,0,0,0,1,0,1,0,0,-1
strike,81,0.00018283887831734057,12.417139506134626,6,NN,7,strike,strike,strike,0,17,0.08246216019197297,1.4018567232635406,0.37107972086387836,6.67943497554981,0.3298486407678919,0.9070837621117027,NN,1,0,0,0,0,1,0,0,0,0,-1
doubt,80,0.00018058160821465735,12.435061414131887,5,NN,5,doubt,doubt,doubt,0,18,0.0,0.0,0.0,0.0,0.0,0.0,NN,0,0,0,1,0,1,0,1,0,1,-1
music,78,0.00017606706800929093,12.471587290157002,5,NN,3,music,music,mus,0,14,0.36257007938470837,5.075981111385917,1.5711370106670695,28.28046619200725,1.087710238154125,5.438551190770625,NN,0,0,0,0,1,0,1,1,0,0,1
revenge,78,0.00017606706800929093,12.471587290157002,7,NN,3,reveng,reveng,reveng,0,16,0.16992500144231237,2.718800023076998,0.7363416729166868,13.254150112500364,0.5947375050480933,2.548875021634686,NN,1,1,0,1,0,1,0,0,1,0,-1
fault,75,0.00016929525770124128,12.52817081852337,5,NN,3,fault,fault,fault,0,17,0.08246216019197297,1.4018567232635406,0.3435923341332207,6.184662014397973,0.3298486407678919,0.7421594417277567,NN,0,0,0,0,0,1,0,1,0,0,-1
heavens,75,0.00016929525770124128,12.52817081852337,7,NNS,4,heaven,heaven,heav,0,18,0.0,0.0,0.0,0.0,0.0,0.0,NN,0,0,0,0,1,0,1,0,0,1,1
oath,74,0.00016703798759855806,12.5475361433903,4,NN,2,oath,oath,oa,0,16,0.16992500144231237,2.718800023076998,0.6985805614850619,12.574450106731113,0.42481250360578093,3.2285750274039353,NN,0,0,0,0,0,0,1,0,0,1,1
